City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,New Norfolk,AU,84.92,light rain,-42.7826,147.0587,Woodbridge on the Derwent
10,Jaru,BR,79.0,overcast clouds,-10.4389,-62.4664,Hotel avenida
18,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
26,Padang,ID,75.92,overcast clouds,-0.9492,100.3543,losmen Surya
29,Hithadhoo,MV,80.91,overcast clouds,-0.6,73.0833,Pebbles Inn
31,Rikitea,PF,78.13,clear sky,-23.1203,-134.9692,Chez Bianca & Benoit
32,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
36,Kahului,US,83.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
44,Cabo San Lucas,MX,81.61,clear sky,22.8909,-109.9124,Comfort Rooms
45,Pisco,PE,75.25,clear sky,-13.7,-76.2167,La Portada
47,Atuona,PF,77.77,light rain,-9.8,-139.0333,Pearl Resort
58,Kapaa,US,81.12,clear sky,22.0752,-159.319,Pono Kai Resort
62,Hilo,US,88.29,clear sky,19.7297,-155.09,Dolphin Bay Hotel
79,Sorong,ID,80.44,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
80,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
81,Yulara,AU,84.49,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
85,Hobart,AU,85.26,light rain,-42.8794,147.3294,The Old Woolstore Apartment Motel
87,Faanui,PF,81.21,few clouds,-16.4833,-151.75,Oa Oa Lodge
94,Mar Del Plata,AR,77.02,clear sky,-38.0023,-57.5575,Nuevo Ostende
96,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Hotel SkylineInn
104,Banda Aceh,ID,77.88,overcast clouds,5.5577,95.3222,Hotel 61
116,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Page 63 hostel
117,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti International Resort
