City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Takanabe,JP,2022-12-27 22:24:29,32.1333,131.5,44.49,66,83,3.4,broken clouds
1,Ushuaia,AR,2022-12-27 22:13:31,-54.8,-68.3,38.86,93,100,35.68,moderate rain
2,Tuktoyaktuk,CA,2022-12-27 22:17:55,69.4541,-133.0374,-27.4,68,20,3.44,few clouds
3,Yellowknife,CA,2022-12-27 22:20:51,62.456,-114.3525,-3.48,84,100,10.36,light snow
4,Butaritari,KI,2022-12-27 22:16:47,3.0707,172.7902,80.33,81,66,16.71,light rain
5,Port Alfred,ZA,2022-12-27 22:18:02,-33.5906,26.891,68.18,90,6,7.0,clear sky
6,Provideniya,RU,2022-12-27 22:15:38,64.3833,-173.3,8.71,78,40,22.37,scattered clouds
7,Brezovica Pri Ljubljani,SI,2022-12-27 22:25:11,46.0333,14.4,43.38,80,100,4.27,overcast clouds
8,Nikolskoye,RU,2022-12-27 22:16:49,59.7035,30.7861,28.29,95,100,7.05,overcast clouds
9,New Norfolk,AU,2022-12-27 22:25:11,-42.7826,147.0587,84.92,39,100,11.99,light rain
10,Jaru,BR,2022-12-27 22:25:11,-10.4389,-62.4664,79.0,85,86,3.6,overcast clouds
11,Bluff,NZ,2022-12-27 22:15:41,-46.6,168.3333,60.96,76,3,1.57,clear sky
12,Hede,CN,2022-12-27 22:25:12,33.7681,120.2517,32.85,64,82,8.43,broken clouds
13,Ilulissat,GL,2022-12-27 22:19:25,69.2167,-51.1,14.02,31,20,19.57,few clouds
14,Pacific Grove,US,2022-12-27 22:25:12,36.6177,-121.9166,57.65,90,100,11.01,overcast clouds
15,Teguise,ES,2022-12-27 22:25:13,29.0605,-13.564,66.42,60,0,13.8,clear sky
16,Saldanha,ZA,2022-12-27 22:25:13,-33.0117,17.9442,64.45,91,44,9.33,scattered clouds
17,Katobu,ID,2022-12-27 22:25:14,-4.9408,122.5276,74.68,92,100,5.41,overcast clouds
18,Puerto Ayora,EC,2022-12-27 22:19:13,-0.7393,-90.3518,76.96,92,65,1.99,broken clouds
19,Albany,US,2022-12-27 22:16:48,42.6001,-73.9662,29.03,63,57,5.61,broken clouds
20,Esperance,AU,2022-12-27 22:15:36,-33.8667,121.9,59.68,57,22,5.37,few clouds
21,Katsuura,JP,2022-12-27 22:18:00,35.1333,140.3,47.32,52,26,1.1,scattered clouds
22,Dikson,RU,2022-12-27 22:16:49,73.5069,80.5464,-21.06,98,55,7.31,broken clouds
